id_cliente,evasao,genero,idoso,parceiro,dependentes,meses_contrato,servico_telefone,multiplas_linhas,servico_internet,protecao_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_streaming,filmes_streaming,tipo_contrato,fatura_digital,metodo_pagamento,contas_diarias,cobranca_mensal,cobranca_total
0057-qbuqh,nao,mulher,nao,nao,sim,43,sim,sim,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,sim,cheque eletronico,0.83,25.1,1070.15
0058-evzwm,nao,mulher,nao,sim,nao,55,sim,sim,fibra otica,sim,nao,nao,nao,sim,nao,mensal,sim,transferencia automatica,3.01,89.8,4959.6
0060-fualy,nao,mulher,nao,sim,nao,59,sim,sim,fibra otica,sim,sim,nao,nao,sim,nao,mensal,sim,cheque eletronico,3.16,94.75,5597.65
0064-sudog,nao,mulher,nao,sim,sim,12,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,transferencia automatica,0.62,20.3,224.5
0064-yijgf,nao,homem,nao,sim,sim,27,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mensal,sim,transferencia automatica,2.38,75.75,1929.0
0067-dkwbl,sim,homem,sim,nao,nao,2,sim,nao,dsl,sim,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,1.52,49.25,91.1
0068-figtf,nao,mulher,nao,nao,nao,27,sim,nao,dsl,nao,sim,sim,sim,sim,sim,anual,nao,cheque correios,2.57,78.2,2078.95
0071-ndafp,nao,homem,nao,sim,sim,25,sim,sim,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cartao credito automatico,0.84,25.5,630.6
0074-hdkdg,nao,homem,nao,sim,sim,25,sim,nao,dsl,sim,sim,sim,nao,nao,nao,anual,sim,transferencia automatica,2.15,61.6,1611.0
0076-lveps,nao,homem,nao,nao,sim,29,nao,sem telefone,dsl,sim,sim,sim,sim,nao,nao,mensal,sim,cheque correios,1.43,45.0,1242.45
0078-xzmht,nao,homem,nao,sim,nao,72,sim,sim,dsl,nao,sim,sim,sim,sim,sim,bienal,sim,transferencia automatica,2.92,85.15,6316.2
0080-emyvy,nao,mulher,nao,nao,nao,14,sim,nao,dsl,nao,sim,nao,nao,nao,nao,anual,nao,cartao credito automatico,1.73,51.45,727.85
0080-orozo,nao,mulher,nao,nao,nao,35,sim,nao,fibra otica,nao,nao,sim,sim,sim,sim,anual,sim,cheque eletronico,3.36,99.25,3532.0
0082-ldzue,nao,homem,nao,nao,nao,1,sim,nao,dsl,nao,nao,nao,nao,nao,nao,mensal,sim,cheque correios,1.48,44.3,44.3
0082-oqiqy,nao,homem,nao,nao,nao,29,sim,nao,fibra otica,nao,nao,nao,sim,sim,sim,mensal,sim,cheque eletronico,3.0,94.2,2607.6
0083-pivik,nao,homem,nao,nao,nao,64,sim,sim,dsl,sim,sim,sim,sim,sim,nao,anual,nao,cheque eletronico,2.9,81.25,5567.55
0089-iiqko,nao,mulher,nao,sim,sim,39,sim,sim,fibra otica,nao,nao,nao,sim,sim,sim,mensal,sim,cartao credito automatico,3.22,99.95,3767.4
0093-exyql,nao,mulher,sim,nao,nao,40,sim,nao,fibra otica,nao,nao,nao,nao,sim,sim,mensal,sim,cheque eletronico,3.06,91.55,3673.6
0093-xwzfy,sim,homem,nao,nao,nao,40,sim,sim,fibra otica,nao,sim,sim,nao,sim,sim,mensal,sim,cartao credito automatico,3.36,104.5,4036.85
0094-oifmo,sim,mulher,sim,nao,nao,11,sim,nao,fibra otica,nao,sim,nao,nao,sim,sim,mensal,sim,cheque eletronico,3.39,95.0,1120.3
0096-bxers,nao,mulher,nao,sim,nao,6,sim,sim,dsl,nao,nao,nao,nao,nao,nao,mensal,nao,cheque eletronico,1.75,50.35,314.55
0096-fcpuf,nao,homem,nao,nao,nao,30,sim,sim,dsl,sim,nao,nao,nao,nao,sim,mensal,sim,cheque correios,2.1,64.5,1888.45
0098-bowso,nao,homem,nao,nao,nao,27,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,sim,cheque eletronico,0.65,19.4,529.8
0100-duvfc,nao,homem,sim,sim,nao,70,sim,sim,fibra otica,nao,sim,sim,nao,sim,sim,anual,sim,cheque eletronico,3.48,104.8,7308.95
0103-csitq,nao,mulher,nao,sim,nao,57,sim,sim,fibra otica,nao,sim,sim,sim,sim,sim,anual,sim,transferencia automatica,3.66,109.4,6252.7
0104-ppxdv,nao,homem,nao,sim,nao,58,sim,nao,dsl,nao,nao,sim,nao,nao,nao,anual,nao,cartao credito automatico,1.65,50.3,2878.55
0106-ghrqr,nao,homem,nao,nao,nao,16,sim,sim,dsl,nao,sim,sim,nao,nao,sim,mensal,sim,transferencia automatica,2.53,71.4,1212.1
0106-ugrdo,nao,mulher,nao,sim,nao,69,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,bienal,sim,cheque eletronico,3.95,116.0,8182.85
0107-weslm,sim,homem,nao,nao,nao,1,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,sim,cheque eletronico,0.66,19.85,19.85
0107-yhina,sim,homem,nao,nao,sim,1,sim,sim,fibra otica,nao,nao,sim,nao,sim,sim,mensal,sim,cheque eletronico,3.32,99.75,99.75
0111-klbqg,nao,homem,sim,sim,sim,32,sim,nao,fibra otica,nao,sim,nao,nao,sim,sim,mensal,sim,cheque correios,2.98,93.95,2861.45
0112-qawrz,nao,homem,nao,sim,sim,16,sim,sim,fibra otica,nao,nao,sim,nao,sim,nao,mensal,sim,transferencia automatica,3.0,90.8,1442.2
0112-qwpnc,sim,homem,nao,sim,nao,49,sim,sim,dsl,sim,nao,sim,sim,sim,sim,anual,nao,cheque eletronico,2.76,84.35,4059.35
0114-igabw,nao,mulher,nao,sim,nao,71,nao,sem telefone,dsl,nao,sim,sim,sim,sim,sim,bienal,nao,transferencia automatica,1.95,58.25,4145.9
0114-pegzz,nao,mulher,nao,nao,nao,33,sim,sim,fibra otica,nao,sim,sim,nao,sim,sim,mensal,nao,cheque eletronico,3.68,107.55,3645.5
0114-rsrrw,nao,mulher,nao,sim,nao,10,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,sim,transferencia automatica,0.63,19.95,187.75
0115-tfert,sim,homem,nao,sim,nao,21,sim,sim,fibra otica,nao,sim,sim,sim,sim,sim,mensal,sim,cheque eletronico,3.68,111.2,2317.1
0117-lfrmw,sim,homem,nao,sim,sim,37,nao,sem telefone,dsl,sim,sim,sim,nao,nao,nao,mensal,nao,transferencia automatica,1.31,40.2,1448.8
0118-jpnoy,nao,mulher,sim,nao,nao,26,sim,nao,fibra otica,sim,nao,nao,nao,sim,nao,mensal,sim,cartao credito automatico,2.81,85.8,2193.65
0121-snyrk,nao,homem,nao,nao,nao,50,nao,sem telefone,dsl,sim,nao,nao,sim,nao,nao,anual,sim,cheque correios,1.17,35.4,1748.9
0122-oahpz,sim,mulher,nao,nao,nao,7,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,2.43,73.85,511.25
0123-crbrt,nao,mulher,nao,sim,sim,61,sim,sim,dsl,sim,sim,sim,sim,sim,sim,bienal,nao,cheque correios,3.02,88.1,5526.75
0125-lzqxk,sim,homem,nao,nao,nao,15,sim,nao,fibra otica,nao,nao,sim,sim,sim,sim,mensal,sim,cheque eletronico,3.45,101.35,1553.95
0128-mkwsg,nao,mulher,nao,nao,sim,26,nao,sem telefone,dsl,sim,nao,nao,sim,nao,sim,mensal,nao,cheque correios,1.47,45.8,1147.0
0129-kptwj,nao,homem,nao,sim,nao,72,sim,nao,fibra otica,nao,nao,sim,nao,sim,sim,mensal,sim,cheque eletronico,3.12,94.65,6747.35
0129-qmpdr,nao,homem,nao,sim,sim,44,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,sim,transferencia automatica,0.66,20.5,865.05
0130-sxoun,nao,homem,nao,nao,nao,66,sim,sim,fibra otica,nao,sim,nao,nao,nao,sim,mensal,nao,cartao credito automatico,3.02,89.4,5976.9
0133-bmfzo,sim,mulher,nao,nao,nao,2,sim,nao,fibra otica,sim,sim,nao,sim,nao,nao,mensal,sim,cheque eletronico,3.03,86.25,181.65
0134-xwxce,nao,mulher,sim,nao,nao,44,sim,nao,dsl,nao,nao,sim,sim,sim,sim,anual,nao,transferencia automatica,2.48,74.85,3268.05
0135-nmxap,sim,mulher,nao,nao,nao,12,sim,sim,fibra otica,nao,sim,nao,nao,sim,nao,mensal,sim,transferencia automatica,2.92,89.75,1052.4
0136-ifmyd,nao,homem,sim,sim,nao,69,sim,sim,fibra otica,nao,sim,sim,sim,sim,sim,bienal,sim,cheque eletronico,3.69,109.95,7634.25
0137-ocgab,sim,mulher,nao,nao,nao,1,sim,sim,fibra otica,nao,sim,nao,nao,nao,nao,mensal,sim,cheque correios,2.67,80.2,80.2
0137-udeuo,sim,mulher,nao,nao,nao,3,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,nao,cheque correios,0.71,19.85,63.75
0139-ivfjg,nao,mulher,nao,sim,nao,2,sim,nao,fibra otica,sim,sim,nao,nao,sim,nao,mensal,nao,cheque eletronico,3.18,90.35,190.5
0141-yeays,nao,mulher,sim,nao,nao,27,sim,sim,fibra otica,nao,sim,sim,nao,nao,nao,mensal,sim,transferencia automatica,2.96,86.45,2401.05
0142-gvysn,nao,homem,nao,nao,nao,26,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,sim,cheque eletronico,0.66,20.3,511.25
0147-eswwr,nao,mulher,sim,sim,nao,39,sim,sim,fibra otica,nao,nao,nao,sim,sim,sim,mensal,sim,cheque eletronico,3.38,101.25,3949.15
0148-dcdos,sim,homem,nao,nao,nao,25,sim,sim,fibra otica,nao,nao,nao,nao,sim,sim,mensal,sim,transferencia automatica,3.15,94.7,2362.1
0151-ontov,sim,mulher,nao,nao,nao,1,sim,nao,fibra otica,nao,nao,nao,nao,nao,nao,mensal,nao,cheque correios,2.36,70.9,70.9
0156-fvpta,sim,homem,nao,sim,nao,22,sim,nao,dsl,sim,nao,nao,sim,nao,nao,mensal,sim,cheque eletronico,1.75,54.2,1152.7
0164-apgrb,nao,mulher,nao,nao,nao,72,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,bienal,sim,cheque eletronico,3.93,114.9,8496.7
0164-xairp,nao,mulher,nao,nao,nao,24,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,sim,transferencia automatica,0.65,19.55,470.2
0168-xzkbb,nao,mulher,nao,sim,nao,19,sim,sim,fibra otica,nao,nao,nao,nao,sim,nao,mensal,sim,cheque eletronico,2.74,86.85,1564.4
0174-qrvvy,nao,homem,nao,sim,sim,71,sim,sim,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cartao credito automatico,0.87,25.35,1847.55
0177-pxbat,nao,homem,sim,sim,nao,33,sim,sim,fibra otica,sim,nao,sim,sim,sim,sim,mensal,sim,transferencia automatica,3.73,109.9,3694.7
0178-ciikr,nao,mulher,nao,nao,nao,3,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,nao,cheque correios,0.64,19.95,58.0
0178-szbho,nao,homem,nao,sim,sim,47,sim,sim,fibra otica,nao,sim,nao,nao,sim,nao,mensal,nao,cheque eletronico,2.85,87.2,4017.45
0181-ritdd,nao,homem,nao,sim,sim,62,sim,nao,fibra otica,sim,sim,sim,sim,sim,sim,bienal,nao,cheque correios,3.67,108.15,6825.65
0186-caerr,nao,homem,nao,nao,nao,71,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,anual,sim,transferencia automatica,3.9,116.3,8309.55
0187-qsxoe,nao,homem,sim,sim,nao,7,sim,nao,fibra otica,nao,nao,nao,nao,sim,sim,mensal,sim,cheque eletronico,2.88,89.0,605.45
0187-wznab,nao,mulher,nao,sim,sim,27,sim,nao,fibra otica,sim,nao,nao,nao,nao,nao,mensal,nao,cheque correios,2.44,74.4,1972.35
0188-gwfle,nao,homem,nao,nao,nao,2,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,nao,cheque correios,0.56,20.05,33.7
0191-equuh,nao,mulher,nao,nao,sim,25,nao,sem telefone,dsl,sim,nao,nao,sim,nao,nao,bienal,nao,transferencia automatica,1.13,35.05,844.45
0191-zhskz,nao,homem,sim,nao,nao,30,sim,nao,dsl,sim,sim,nao,nao,sim,sim,mensal,sim,cheque eletronico,2.35,74.75,2111.3
0193-eszxp,sim,mulher,sim,sim,nao,58,sim,nao,fibra otica,sim,sim,nao,sim,sim,sim,anual,sim,cartao credito automatico,3.57,105.5,6205.5
0195-iescp,sim,homem,nao,sim,nao,10,sim,sim,fibra otica,nao,nao,nao,nao,nao,sim,mensal,sim,cheque eletronico,2.85,85.25,855.3
0196-jtuqi,nao,mulher,nao,nao,nao,9,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mensal,sim,cartao credito automatico,2.35,75.2,633.85
0196-vulgz,sim,mulher,sim,sim,nao,6,sim,sim,fibra otica,nao,nao,nao,nao,nao,sim,mensal,sim,cheque eletronico,2.64,84.35,474.9
0197-pnknk,nao,mulher,nao,sim,sim,69,sim,sim,fibra otica,sim,nao,sim,nao,nao,nao,anual,nao,transferencia automatica,2.83,84.45,5848.6
0201-mibol,nao,mulher,sim,nao,nao,66,sim,sim,fibra otica,sim,nao,nao,nao,sim,sim,bienal,sim,transferencia automatica,3.27,102.4,6471.85
0201-oamxr,sim,mulher,nao,nao,nao,70,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,anual,nao,cartao credito automatico,3.87,115.55,8127.6
0203-hhyij,sim,homem,nao,nao,nao,25,sim,sim,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,nao,transferencia automatica,0.9,25.3,676.35
0206-oyvoc,nao,mulher,nao,sim,sim,46,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,sim,cheque correios,0.63,19.25,864.2
0206-tbwlc,nao,mulher,nao,sim,nao,54,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,anual,sim,cheque correios,3.73,114.65,6049.5
0207-mdknv,sim,mulher,nao,nao,nao,15,sim,nao,fibra otica,sim,nao,sim,sim,sim,sim,mensal,nao,cheque eletronico,3.52,105.1,1582.75
0208-bpqej,nao,mulher,nao,sim,sim,12,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,nao,transferencia automatica,0.55,19.4,198.1
0212-isbbf,nao,mulher,nao,nao,nao,22,nao,sem telefone,dsl,nao,sim,nao,nao,sim,sim,mensal,sim,cheque eletronico,1.66,50.35,1098.85
0214-jhpfw,nao,mulher,nao,sim,nao,70,nao,sem telefone,dsl,nao,sim,sim,sim,sim,sim,bienal,nao,transferencia automatica,1.92,57.8,4039.3
0215-bqkgs,nao,homem,nao,nao,nao,30,sim,nao,fibra otica,sim,sim,sim,nao,nao,nao,mensal,sim,cartao credito automatico,2.71,84.3,2438.6
0218-qnvas,nao,homem,nao,sim,sim,71,sim,sim,fibra otica,nao,sim,nao,nao,sim,sim,anual,nao,transferencia automatica,3.34,100.55,7113.75
0219-qaerp,nao,homem,nao,sim,nao,30,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,nao,cartao credito automatico,0.64,19.8,576.65
0219-ytzue,sim,homem,nao,sim,sim,4,sim,sim,fibra otica,nao,sim,sim,nao,nao,nao,mensal,sim,transferencia automatica,3.1,84.8,371.9
0220-ebgce,sim,homem,nao,nao,nao,2,sim,nao,fibra otica,nao,nao,sim,nao,nao,sim,mensal,sim,cheque eletronico,2.79,85.85,167.3
0221-nauxk,nao,homem,nao,nao,sim,10,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,sim,transferencia automatica,0.73,19.95,219.5
0221-wmxnq,nao,homem,sim,nao,nao,4,sim,nao,fibra otica,sim,nao,nao,nao,nao,nao,mensal,nao,cheque eletronico,2.28,75.35,273.4
0222-cnvpt,nao,homem,sim,nao,nao,52,nao,sem telefone,dsl,sim,nao,nao,nao,sim,sim,mensal,sim,cartao credito automatico,1.64,48.8,2555.05
0224-hjapt,sim,homem,nao,nao,nao,5,sim,sim,dsl,nao,nao,nao,nao,nao,nao,mensal,nao,cheque eletronico,1.49,47.15,223.15
0224-nijlp,nao,homem,nao,sim,sim,8,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cheque correios,0.69,20.15,165.5
0224-rlwwd,nao,mulher,sim,nao,nao,2,sim,nao,dsl,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,1.49,44.3,89.3
0225-zorzp,nao,homem,nao,nao,nao,3,sim,nao,fibra otica,nao,sim,nao,nao,nao,sim,mensal,nao,cheque eletronico,2.61,84.3,235.05
0228-mauwc,nao,homem,nao,nao,nao,19,sim,sim,dsl,nao,nao,sim,sim,nao,nao,mensal,nao,cheque eletronico,2.01,59.55,1144.6
0229-lfjaf,nao,homem,nao,nao,nao,72,sim,sim,dsl,sim,sim,sim,sim,nao,nao,bienal,nao,transferencia automatica,2.27,69.65,4908.25
0230-ubypq,nao,homem,sim,sim,nao,63,nao,sem telefone,dsl,sim,nao,nao,sim,nao,nao,anual,nao,transferencia automatica,1.22,36.1,2298.9
0230-wequw,nao,homem,nao,sim,nao,66,nao,sem telefone,dsl,sim,sim,sim,sim,sim,nao,bienal,sim,transferencia automatica,1.91,56.6,3789.2
0231-lxvap,sim,homem,nao,nao,nao,1,sim,nao,fibra otica,nao,nao,nao,sim,nao,nao,mensal,sim,cheque eletronico,2.53,75.9,75.9
0233-fthav,nao,mulher,nao,nao,nao,60,sim,sim,fibra otica,nao,nao,sim,nao,nao,nao,anual,sim,transferencia automatica,2.65,79.2,4765.0
0234-tevtt,nao,mulher,nao,sim,sim,48,nao,sem telefone,dsl,sim,nao,sim,nao,nao,sim,anual,nao,cartao credito automatico,1.53,45.0,2196.3
0235-kgslc,sim,mulher,nao,nao,nao,1,sim,nao,fibra otica,nao,nao,sim,nao,sim,nao,mensal,sim,cartao credito automatico,2.85,85.55,85.55
0236-hfwsv,sim,homem,nao,nao,nao,15,sim,sim,fibra otica,nao,nao,nao,nao,sim,sim,mensal,sim,cheque eletronico,3.21,93.35,1444.65
0237-yfutl,nao,mulher,nao,sim,nao,50,sim,sim,fibra otica,sim,sim,nao,sim,sim,sim,mensal,sim,transferencia automatica,3.6,109.65,5405.8
0238-whbiq,nao,homem,nao,sim,sim,72,sim,sim,dsl,sim,sim,sim,sim,sim,sim,bienal,nao,cartao credito automatico,2.93,89.7,6339.3
0239-oxexl,nao,mulher,nao,nao,nao,46,sim,sim,fibra otica,sim,sim,nao,nao,nao,nao,mensal,nao,cheque correios,2.79,84.25,3847.6
0244-lgnfy,nao,mulher,nao,sim,sim,72,sim,sim,dsl,sim,sim,sim,sim,sim,sim,bienal,nao,transferencia automatica,3.12,92.65,6733.0
0247-sluji,nao,homem,nao,sim,sim,1,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,nao,cheque correios,0.66,19.7,19.7
0248-ipdfw,nao,mulher,nao,nao,nao,1,sim,sim,dsl,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,1.67,50.1,50.1
0248-pghbz,nao,mulher,sim,nao,nao,67,sim,nao,fibra otica,sim,sim,nao,sim,sim,nao,bienal,sim,transferencia automatica,3.06,92.45,6140.85
0253-zteob,nao,mulher,nao,sim,sim,48,sim,sim,dsl,nao,sim,nao,sim,sim,sim,bienal,nao,cheque eletronico,2.69,79.65,3870.3
0254-fnmci,nao,mulher,nao,nao,nao,72,sim,nao,fibra otica,sim,sim,sim,sim,sim,sim,bienal,sim,cheque eletronico,3.53,109.9,7624.2
0254-kcjgt,nao,homem,nao,sim,nao,52,sim,sim,dsl,sim,sim,sim,sim,nao,sim,anual,sim,cartao credito automatico,2.79,81.4,4354.45
0254-wwrkd,nao,mulher,nao,sim,sim,67,sim,nao,dsl,nao,sim,nao,nao,nao,nao,anual,nao,cartao credito automatico,1.71,50.55,3431.75
0256-lthvj,sim,mulher,nao,sim,sim,28,sim,nao,fibra otica,nao,nao,nao,nao,nao,sim,mensal,sim,cheque eletronico,2.65,81.05,2227.1
0257-kxzgu,nao,mulher,nao,sim,sim,32,sim,sim,dsl,nao,sim,sim,nao,nao,nao,mensal,nao,transferencia automatica,2.13,62.45,2045.55
0257-zesqc,sim,mulher,sim,sim,nao,27,sim,nao,fibra otica,sim,nao,nao,nao,nao,nao,mensal,sim,transferencia automatica,2.38,75.2,1929.35
0258-nokbl,nao,homem,nao,nao,nao,3,sim,nao,fibra otica,nao,sim,sim,nao,nao,sim,mensal,nao,cheque eletronico,2.98,90.4,268.45
0259-gbzsh,sim,homem,nao,nao,nao,2,sim,sim,fibra otica,nao,nao,nao,nao,sim,nao,mensal,sim,cheque eletronico,3.02,85.65,181.5
0260-zdlgk,sim,mulher,nao,nao,sim,9,sim,nao,dsl,nao,nao,sim,sim,sim,sim,mensal,sim,cheque correios,2.41,72.9,651.4
0263-fjtqo,nao,homem,nao,sim,sim,50,sim,sim,dsl,sim,nao,nao,sim,sim,nao,bienal,sim,cartao credito automatico,2.32,70.5,3486.65
